Lista;Circoscrizione;Numero Candidato;Candidato
NOI CON L'ITALIA - UDC;EUROPA;3;DI FRESCO GIOACCHINO 
NOI CON L'ITALIA - UDC;EUROPA;4;DE ANGELIS WILLIAM 
NOI CON L'ITALIA - UDC;EUROPA;5;MASTROGIACOMO ANNA 
NOI CON L'ITALIA - UDC;EUROPA;6;ZAGO DANIELE FRANCESCO 
NOI CON L'ITALIA - UDC;EUROPA;7;MELITI DOMENICO 
NOI CON L'ITALIA - UDC;EUROPA;8;LEZZA ANTONIO 
NOI CON L'ITALIA - UDC;EUROPA;9;CAPPELLI PIETRO 
NOI CON L'ITALIA - UDC;EUROPA;10;MANGIAMELI SIMONE ALFIO 
PARTITO DEMOCRATICO;AFRICA ASIA OCEANIA ANTARTIDE;1;CARE' NICOLA 
PARTITO DEMOCRATICO;AFRICA ASIA OCEANIA ANTARTIDE;2;PASCALIS FRANCESCO 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;1;PALERMO RENATO 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;2;BECCHI ALBERTO EMILIO 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;3;MATINA FRANCESCO ALESSIO 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;4;PINTO ANTONELLA IRENE 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;5;LONGO FAUSTO GUILHERME 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;6;DE BENEDICTIS PIERO DETTO PIERO
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;7;MATAFORA PASQUALE 
PARTITO DEMOCRATICO;AMERICA MERIDIONALE;8;VICENZI FABIO 
PARTITO DEMOCRATICO;AMERICA SETTENTRIONALE E CENTRALE;1;LA MARCA FRANCESCA 
PARTITO DEMOCRATICO;AMERICA SETTENTRIONALE E CENTRALE;2;FALEG GIOVANNI 
PARTITO DEMOCRATICO;AMERICA SETTENTRIONALE E CENTRALE;3;DI TROLIO ROCCO 
PARTITO DEMOCRATICO;AMERICA SETTENTRIONALE E CENTRALE;4;WEISS DI VALBRANCA ISABELLA DETTA ISABELLA DI VALBRANCA
PARTITO DEMOCRATICO;EUROPA;1;UNGARO MASSIMO 
PARTITO DEMOCRATICO;EUROPA;2;FARINA GIOVANNI DETTO GIANNI
PARTITO DEMOCRATICO;EUROPA;3;MODUGNO PAOLO 
PARTITO DEMOCRATICO;EUROPA;4;TACCONI ALESSIO 
PARTITO DEMOCRATICO;EUROPA;5;FANTI LANFRANCO 
PARTITO DEMOCRATICO;EUROPA;6;ZINGARIELLO COSIMA DETTA MINA
PARTITO DEMOCRATICO;EUROPA;7;NARDUCCI FRANCO ADDOLORATO GIACINTO 
PARTITO DEMOCRATICO;EUROPA;8;SCHIRO' ANGELA 
PARTITO DEMOCRATICO;EUROPA;9;RICCIARDI TONI 
PARTITO DEMOCRATICO;EUROPA;10;SCIMMI LEONARDO 
PARTITO REPUBBLICANO ITALIANO - ALA;AMERICA SETTENTRIONALE E CENTRALE;1;RIVA MATTEO 
PARTITO REPUBBLICANO ITALIANO - ALA;AMERICA SETTENTRIONALE E CENTRALE;2;UCCELLI FRANCESCA 
PARTITO REPUBBLICANO ITALIANO - ALA;EUROPA;1;RIITANO DOMENICO PIO 
PARTITO REPUBBLICANO ITALIANO - ALA;EUROPA;2;ALMAGIA' EDOARDO 
