Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;3;ROSSI ANDREA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 02;4;PARON BARBARA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 03;1;CANTONE CARLA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 03;2;RIZZO NERVO LUCA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 03;3;PINI GIUDITTA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 03;4;ZACCHIROLI BENEDETTO 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 04;1;ORLANDO ANDREA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 04;2;DE MICHELI PAOLA 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 04;3;MARATTIN LUIGI 
PARTITO DEMOCRATICO;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 04;4;FERRARI LICIA 
PARTITO DEMOCRATICO;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;1;ROSATO ETTORE 
PARTITO DEMOCRATICO;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;2;SERRACCHIANI DEBORA 
PARTITO DEMOCRATICO;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;3;COPPOLA PAOLO 
PARTITO DEMOCRATICO;FRIULI-VENEZIA GIULIA;FRIULI-VENEZIA GIULIA - 01;4;DEL COL PATRIZIA 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 01;1;MADIA MARIA ANNA 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 01;2;NOBILI LUCIANO 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 01;3;PICCOLI FLAVIA IN NARDELLI
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 01;4;PILOZZI NAZZARENO 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 02;1;ORFINI MATTEO 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 02;2;MADIA MARIA ANNA 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 02;3;ANZALDI MICHELE 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 02;4;PIAZZONI ILEANA CATHIA 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 03;1;BOSCHI MARIA ELENA 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 03;2;MORASSUT ROBERTO 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 03;3;CAMPANA MICAELA 
PARTITO DEMOCRATICO;LAZIO 1;LAZIO 1 - 03;4;DI SILVIO EMANUELE 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 01;1;MELILLI FABIO 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 01;2;BONACCORSI LORENZA 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 01;3;FIORONI GIUSEPPE 
PARTITO DEMOCRATICO;LAZIO 2;LAZIO 2 - 01;4;MARONGIU SILVIA 
