Lista;Circoscrizione;Collegio Plurinominale;Numero Candidato;Candidato
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 02;2;MATRISCIANO MARIASSUNTA DETTA SUSY
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 02;3;LENA DONATO 
MOVIMENTO 5 STELLE;PIEMONTE;PIEMONTE - 02;4;GARAVENTA SILVIA 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 01;1;CIAMPOLILLO ALFONSO 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 01;2;NATURALE GISELLA 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 01;3;GARRUTI VINCENZO 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 01;4;PRENCIPE EMMA 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 02;1;LEZZI BARBARA 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 02;2;BUCCARELLA MAURIZIO 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 02;3;DONNO DANIELA 
MOVIMENTO 5 STELLE;PUGLIA;PUGLIA - 02;4;MININNO CATALDO 
MOVIMENTO 5 STELLE;SARDEGNA;SARDEGNA - 01;1;LICHERI ETTORE ANTONIO 
MOVIMENTO 5 STELLE;SARDEGNA;SARDEGNA - 01;2;EVANGELISTA ELVIRA LUCIA 
MOVIMENTO 5 STELLE;SARDEGNA;SARDEGNA - 01;3;CAPPUCCINELLI ROBERTO GIOVANNI 
MOVIMENTO 5 STELLE;SARDEGNA;SARDEGNA - 01;4;CONGIU ANTONIETTA 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 01;1;CAMPAGNA ANTONELLA 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 01;2;SANTANGELO VINCENZO DETTO MAURIZIO
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 01;3;LEONE CINZIA 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 01;4;TRENTACOSTE FABRIZIO 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 02;1;GIARRUSSO MARIO MICHELE 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 02;2;CATALFO NUNZIA 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 02;3;ANASTASI CRISTIANO 
MOVIMENTO 5 STELLE;SICILIA;SICILIA - 02;4;FLORIDIA BARBARA 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 01;1;BOTTICI LAURA 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 01;2;FERRARA GIANLUCA 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 01;3;PAGLINI SARA 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 01;4;ZELONI NICOLA 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 02;1;DE FALCO GREGORIO 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 02;2;BONCIANI DONELLA 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 02;3;BARTALUCCI MARCO 
MOVIMENTO 5 STELLE;TOSCANA;TOSCANA - 02;4;MARROCCO VALERIA 
MOVIMENTO 5 STELLE;TRENTINO-ALTO ADIGE;TRENTINO-ALTO ADIGE/SÜDTIROL - 01;1;ZANELLA CRISTIANO 
MOVIMENTO 5 STELLE;UMBRIA;UMBRIA - 01;1;LUCIDI STEFANO 
MOVIMENTO 5 STELLE;UMBRIA;UMBRIA - 01;2;PAVANELLI EMMA 
MOVIMENTO 5 STELLE;UMBRIA;UMBRIA - 01;3;BRUTTI CRISTIAN 
MOVIMENTO 5 STELLE;UMBRIA;UMBRIA - 01;4;CHECCOBELLI SIMONETTA 
MOVIMENTO 5 STELLE;VENETO;VENETO - 01;1;VANIN ORIETTA 
MOVIMENTO 5 STELLE;VENETO;VENETO - 01;2;GIROTTO GIANNI PIETRO 
MOVIMENTO 5 STELLE;VENETO;VENETO - 01;3;RIVA GLADIS 
MOVIMENTO 5 STELLE;VENETO;VENETO - 01;4;CANDIELLO ANTONIO 
MOVIMENTO 5 STELLE;VENETO;VENETO - 02;1;ENDRIZZI GIOVANNI 
MOVIMENTO 5 STELLE;VENETO;VENETO - 02;2;GUIDOLIN BARBARA 
MOVIMENTO 5 STELLE;VENETO;VENETO - 02;3;PERNECHELE GABRIELE MARTINO 
MOVIMENTO 5 STELLE;VENETO;VENETO - 02;4;BELLADELLI SILVANA 
NOI CON L'ITALIA - UDC;ABRUZZO;ABRUZZO - 01;1;SOTTANELLI GIULIO CESARE 
NOI CON L'ITALIA - UDC;ABRUZZO;ABRUZZO - 01;2;CAMPLONE FRANCA 
NOI CON L'ITALIA - UDC;ABRUZZO;ABRUZZO - 01;3;MARCUCCITTI GIUSEPPE 
NOI CON L'ITALIA - UDC;ABRUZZO;ABRUZZO - 01;4;DEL GIOVINE DESIREE 
NOI CON L'ITALIA - UDC;BASILICATA;BASILICATA - 01;1;LATRONICO COSIMO 
NOI CON L'ITALIA - UDC;BASILICATA;BASILICATA - 01;2;FAZZARI MADDALENA 
NOI CON L'ITALIA - UDC;BASILICATA;BASILICATA - 01;3;MONTONE MICHELE 
NOI CON L'ITALIA - UDC;BASILICATA;BASILICATA - 01;4;TRIVIGNO SERAFINA 
NOI CON L'ITALIA - UDC;CALABRIA;CALABRIA - 01;1;GALATI GIUSEPPE 
NOI CON L'ITALIA - UDC;CALABRIA;CALABRIA - 01;2;BLASI BARBARA 
NOI CON L'ITALIA - UDC;CALABRIA;CALABRIA - 01;3;CICCONE GREGORIO 
NOI CON L'ITALIA - UDC;CALABRIA;CALABRIA - 01;4;SURACE VALERIA 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 01;1;BINETTI PAOLA 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 01;2;BICCHIELLI GIUSEPPE 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 01;3;MILITE MATILDE 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 01;4;BONAVOGLIA VITTORIO 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 02;1;LATRONICO COSIMO 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 02;2;BARBATO NICOLETTA 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 02;3;PECORILLA MAURIZIO 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 02;4;FUSCO MARIA 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 03;1;TESTA NUNZIO FRANCESCO 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 03;2;BINETTI PAOLA 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 03;3;RANIERI FRANCESCO 
NOI CON L'ITALIA - UDC;CAMPANIA;CAMPANIA - 03;4;MILITE MATILDE 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;1;IOLI MAURO 
NOI CON L'ITALIA - UDC;EMILIA-ROMAGNA;EMILIA-ROMAGNA - 01;2;FOLEGATTI GABRIELLA 
